session_id,rptq_bgn,rptq_end,intv_bgn,intv_end,rdtr_bgn,rdtr_end,call_bgn,call_end,call_type
20090806_165437_LDC_120214,4.706,32.674,32.674,1020.815,1020.815,2171.862,2179.210,2784.170,cell
20090807_090907_LDC_120262,3.417,41.182,41.182,916.870,916.870,1894.690,1894.690,2499.600,cell
20090807_095952_LDC_120355,3.912,28.600,28.600,976.865,976.865,2073.537,2073.600,2679.140,high_ve
20090807_120218_LDC_120314,3.231,26.575,26.575,999.700,1001.684,1807.778,1940.670,2545.690,cell
20090807_131919_LDC_120371,4.230,35.980,35.980,1215.495,1215.495,2173.761,2174.950,2780.000,high_ve
20090807_143559_LDC_120338,3.587,28.525,28.525,1021.447,1021.447,2095.070,2095.070,2700.240,high_ve
20090810_092004_LDC_120333,7.340,33.901,33.901,923.416,923.416,1820.000,0.000,0.000,no_call
20090810_111951_LDC_120303,4.100,30.522,30.522,971.022,971.022,1889.506,2097.090,2701.880,cell
20090810_120808_LDC_120288,13.359,37.667,39.933,954.389,959.900,1811.283,2011.120,2616.150,cell
20090810_125830_LDC_120284,23.454,52.298,52.298,971.001,971.001,2022.126,2026.800,2631.840,cell
20090810_142207_LDC_120210,9.603,35.916,35.916,1036.650,1036.650,2019.060,2019.060,2623.790,high_ve
20090810_151817_LDC_120209,1.681,28.791,28.791,1009.556,1009.556,1940.541,1965.930,2571.290,high_ve
20090810_160537_LDC_120235,1.458,22.223,22.223,956.520,956.520,2034.442,2042.380,2647.840,cell
20090810_165445_LDC_120406,1.400,38.931,38.931,737.369,737.369,1799.494,1818.330,2423.380,high_ve
20090811_091959_LDC_120322,3.229,35.979,35.979,1043.136,1043.136,2030.682,2064.530,2669.640,low_ve
20090811_101141_LDC_120263,1.450,27.982,33.700,1084.935,1084.935,2005.607,2116.070,2721.050,cell
20090811_110158_LDC_120307,13.217,48.873,48.873,1056.467,1056.467,2120.740,2120.740,2725.840,high_ve
20090811_121110_LDC_120243,3.394,35.019,35.019,843.113,843.113,1785.330,1785.330,2390.440,cell
20090811_140447_LDC_120266,4.594,32.328,32.328,981.375,981.375,2038.531,2522.400,3127.440,cell
20090811_150119_LDC_120354,28.434,61.950,61.950,829.856,829.856,1870.330,1870.330,2475.180,high_ve
20090811_154722_LDC_120347,5.416,33.619,33.619,874.307,874.307,2163.369,2163.920,2769.420,high_ve
20090811_170402_LDC_120269,21.657,79.814,79.814,943.751,943.751,1968.782,2013.350,2618.630,cell
20090812_110517_LDC_120235,13.026,37.463,37.463,1030.994,1030.994,1953.401,1970.410,2575.070,cell
20090812_130125_LDC_120312,7.365,33.662,33.662,1093.303,1093.303,2117.537,2166.760,2771.600,cell
20090812_145955_LDC_120271,4.294,29.794,29.794,849.310,849.310,1880.380,1880.380,2485.470,cell
20090812_155521_LDC_120392,1.162,28.724,28.724,918.505,918.505,2102.005,2102.600,2707.870,high_ve
20090813_090908_LDC_120221,0.919,32.357,32.357,899.357,899.357,1935.919,1970.130,2575.590,cell
20090813_095512_LDC_120416,1.700,27.559,27.559,981.263,981.263,2194.450,2194.450,2799.420,high_ve
20090813_105840_LDC_120380,3.077,27.608,27.608,1362.998,1362.998,2551.930,2551.930,3157.370,high_ve
20090813_120537_LDC_120323,1.427,23.740,23.740,908.068,908.068,2081.530,2081.530,2686.800,cell
20090813_130045_LDC_120343,1.259,28.244,28.244,980.869,980.869,2043.970,2043.970,2649.060,cell
20090813_150521_LDC_120344,7.038,38.788,38.788,953.226,953.226,2053.507,2054.370,2659.210,cell
20090814_095432_LDC_120322,17.269,48.456,48.456,1122.987,1122.987,2240.456,2286.440,2891.280,cell
20090814_111319_LDC_120278,4.497,39.372,39.372,1143.513,1143.513,2189.997,2209.580,2814.870,high_ve
20090814_120818_LDC_120362,2.385,70.620,70.620,866.198,866.198,2042.260,2065.190,2669.980,high_ve
20090814_130626_LDC_120259,5.369,38.836,38.836,790.075,790.075,1916.505,1922.300,2527.530,cell
20090814_153012_LDC_120395,7.778,34.475,34.475,917.371,917.371,1965.910,1965.910,2570.890,high_ve
20090817_090348_LDC_120318,2.466,31.013,31.013,991.810,991.810,2023.497,2070.390,2675.320,cell
20090817_100356_LDC_120330,0.890,26.359,26.359,1028.531,1028.531,2121.070,2121.070,2726.010,cell
20090817_110831_LDC_120398,3.626,33.985,33.985,949.329,949.329,1867.641,2032.140,2637.700,high_ve
20090817_121633_LDC_120361,5.326,32.076,32.935,946.748,946.748,2179.480,2179.480,2784.900,cell
20090817_131109_LDC_120346,5.407,31.939,31.939,1012.376,1012.376,1893.407,2351.950,2956.770,cell
20090817_141615_LDC_120351,1.619,26.822,26.822,911.525,911.525,1979.604,1982.200,2587.720,cell
20090818_091623_LDC_111756,5.508,32.836,32.836,922.117,922.117,2204.060,2204.060,2809.210,high_ve
20090818_102231_LDC_120380,3.390,28.640,28.640,1215.656,1286.031,2220.578,2260.870,2865.680,cell
20090818_111405_LDC_120233,28.077,59.358,59.358,1012.202,1012.202,2129.580,2129.580,2734.580,cell
20090818_134624_LDC_120402,1.169,43.091,43.091,912.544,912.544,2013.466,2014.000,2619.170,high_ve
20090818_151500_LDC_120372,6.188,29.875,29.875,979.110,979.110,1937.000,1938.670,2544.270,high_ve
20090818_161530_LDC_120279,1.605,29.668,29.668,895.636,895.636,1977.040,1977.040,2582.090,cell
20090818_170531_LDC_120400,7.090,34.356,34.356,989.481,989.481,2088.512,2099.020,2703.640,high_ve
20090819_100903_LDC_120330,2.252,30.017,30.017,1150.158,1150.158,2154.314,2193.580,2798.480,cell
20090819_105933_LDC_120309,12.229,36.932,36.932,1092.400,1092.400,2318.030,2318.030,2923.140,cell
20090819_115645_LDC_120259,4.706,30.331,30.331,828.472,828.472,2056.060,2056.060,2661.140,cell
20090819_131038_LDC_120346,4.672,30.406,30.406,974.906,974.906,1842.203,2622.420,3227.420,normal
20090819_140747_LDC_120406,4.140,27.655,27.655,928.171,928.171,2053.840,2053.840,2658.950,cell
20090819_151140_LDC_120274,2.192,32.317,32.317,1106.692,1106.692,2212.500,2212.500,2817.480,cell
20090819_160425_LDC_120379,1.808,30.870,30.870,990.933,990.933,2036.636,2037.440,2642.410,high_ve
20090819_165738_LDC_120214,6.066,33.395,33.395,988.957,988.957,2083.660,2083.660,2689.160,cell
20090820_092913_LDC_120380,29.072,67.744,67.744,1364.479,1364.479,2430.170,2430.170,3035.280,cell
20090821_090546_LDC_120274,1.064,36.970,36.970,1264.705,1264.705,2328.220,2328.220,2933.270,cell
20090821_100256_LDC_120238,4.288,39.819,39.819,1057.350,1057.350,1989.225,1993.810,2599.010,high_ve
20090821_105319_LDC_120406,1.294,39.309,39.309,976.622,976.622,2184.360,2184.360,2789.720,cell
20090821_121548_LDC_120372,4.704,30.907,30.907,976.970,976.970,2006.800,2006.800,2611.860,cell
20090821_130326_LDC_111756,1.310,27.216,27.216,935.216,935.216,1978.650,1978.650,2583.980,cell
20090821_135052_LDC_120404,5.757,30.960,30.960,928.351,928.351,2082.835,2084.030,2689.390,high_ve
20090821_150523_LDC_120323,2.261,27.277,27.277,1048.792,1048.792,2142.964,2149.310,2754.390,cell
20090825_091801_LDC_120400,7.896,33.849,33.849,985.677,985.677,1953.443,1975.880,2581.240,cell
20090825_114029_LDC_120432,7.828,35.625,35.625,946.484,946.484,2532.172,2535.700,3140.740,cell
20090825_131223_LDC_120218,5.168,29.589,29.589,1026.996,1026.996,2044.449,2073.310,2678.350,cell
20090825_140920_LDC_120329,11.089,41.715,41.715,947.152,947.152,1977.340,1977.340,2582.680,cell
20090825_145823_LDC_120393,2.951,40.794,40.794,865.263,865.263,2117.310,2124.050,2729.050,cell
20090825_161452_LDC_120353,5.640,34.937,34.937,890.906,890.906,1920.410,1920.410,2525.350,cell
20090825_170502_LDC_120347,14.432,41.917,41.917,1281.823,1281.823,2558.745,2565.290,3170.160,cell
20090826_100144_LDC_120354,3.285,33.191,33.191,746.613,746.613,1677.597,2760.500,3365.540,cell
20090826_110104_LDC_120403,7.388,32.747,32.747,1006.591,1006.591,2276.263,2310.240,2915.470,high_ve
20090826_130619_LDC_120344,2.098,38.145,38.145,921.364,921.364,2126.530,2126.530,2731.940,cell
20090826_135610_LDC_120395,2.984,32.234,32.234,863.202,863.202,1918.710,1918.710,2524.290,cell
20090826_150144_LDC_120338,1.562,25.281,25.281,798.094,798.094,1880.790,1880.790,2486.310,cell
20090826_155942_LDC_120408,1.560,27.107,27.107,875.872,875.872,1974.013,1978.090,2583.420,high_ve
20090826_170357_LDC_120227,1.125,23.484,23.484,853.031,853.031,1845.359,1845.880,2450.640,high_ve
20090827_100211_LDC_120398,3.077,32.608,32.608,979.405,979.405,2008.733,2058.480,2664.000,cell
20090827_105537_LDC_120281,17.335,46.867,46.867,948.804,948.804,2167.835,2193.900,2799.370,high_ve
20090827_130833_LDC_120333,3.148,58.023,58.023,717.226,717.226,1966.007,1980.620,2585.900,cell
20090827_141638_LDC_120402,4.254,35.176,35.176,997.394,997.394,2070.941,2074.400,2679.630,cell
20090827_150447_LDC_120226,3.151,35.010,35.010,1007.588,1007.588,2095.292,2105.790,2710.870,cell
20090827_155709_LDC_120351,4.625,30.594,30.594,1033.672,1033.672,2046.812,2047.710,2653.340,cell
20090827_171313_LDC_120332,5.625,28.906,28.906,966.499,966.499,1939.843,1956.620,2561.670,high_ve
20090828_090157_LDC_120217,14.488,36.253,36.253,1001.097,1001.097,3292.785,3314.960,3920.360,high_ve
20090828_140647_LDC_120379,1.967,30.732,30.732,1066.92,1066.92,2039.748,2040.26,2645.74,cell
20090828_151140_LDC_120255,3.786,32.505,32.505,948.177,948.177,1870.286,1883.690,2489.050,cell
20090831_100246_HRM_120242,6.333,31.536,31.536,998.645,998.645,2017.629,2018.430,2623.290,high_ve
20090831_110902_LDC_120304,4.339,33.038,33.038,889.514,889.514,1900.961,1928.970,2533.630,low_ve
20090831_121817_LDC_120332,3.655,34.450,34.450,949.066,949.066,1891.909,1914.930,2519.740,low_ve
20090831_134500_LDC_120430,1.080,27.533,27.533,954.886,954.886,2056.008,2057.750,2662.860,cell
20090831_145812_LDC_120431,15.806,64.930,64.930,977.063,977.063,2023.072,2030.270,2635.740,cell
20090831_160456_LDC_120408,1.716,28.559,28.559,1055.709,1055.709,2162.378,2162.670,2767.910,low_ve
20090831_170628_LDC_120353,8.878,34.347,34.347,1065.269,1065.269,2068.894,2069.670,2674.490,cell
20090901_094008_HRM_120436,9.469,32.875,32.875,859.078,859.078,1924.453,1934.260,2539.290,cell
20090901_094924_LDC_120434,5.138,35.778,35.778,924.856,924.856,1873.106,1898.830,2503.990,cell
20090901_104119_LDC_120454,3.817,29.724,29.724,764.161,764.161,1777.036,1808.410,2413.450,high_ve
20090901_111550_HRM_120229,4.156,28.453,28.453,982.469,982.469,1906.859,1908.690,2513.650,high_ve
20090901_114711_LDC_120424,4.507,36.632,36.632,876.710,876.710,1833.210,1833.440,2438.590,high_ve
20090901_120931_HRM_120462,25.688,52.766,52.766,996.750,996.750,2051.406,2051.990,2657.270,high_ve
20090901_135506_LDC_120255,5.442,46.911,46.911,950.505,950.505,1927.349,1934.900,2539.630,cell
20090901_142826_HRM_120463,7.000,41.000,41.000,1002.906,1002.906,2137.770,2137.770,2743.350,high_ve
20090901_144456_LDC_120302,3.618,27.915,27.915,700.884,700.884,1838.37,1838.37,2443.29,high_ve
20090901_154129_HRM_120376,5.188,29.203,29.203,927.406,927.406,2029.984,2030.460,2635.980,high_ve
20090901_165426_HRM_120457,5.734,32.125,32.125,960.562,960.562,2042.266,2043.210,2648.300,high_ve
20090902_091208_LDC_120398,49.949,86.449,86.449,992.324,992.324,2082.731,2083.350,2688.220,low_ve
20090902_091229_HRM_120242,6.047,35.125,35.125,1029.078,1029.078,2163.562,2164.420,2769.660,low_ve
20090902_101323_LDC_120438,4.541,29.541,29.541,893.994,893.994,1978.822,1981.160,2586.520,high_ve
20090902_110130_HRM_120452,6.078,30.985,30.985,961.297,968.547,1978.578,1979.100,2583.910,high_ve
20090902_115357_HRM_120299,4.750,38.235,38.235,712.062,712.062,1879.470,1879.470,2484.630,high_ve
20090902_133236_LDC_120371,4.736,38.705,38.705,895.517,895.517,1897.111,1898.000,2502.850,cell
20090902_135718_HRM_120481,41.031,43.469,43.469,1088.328,1088.328,2174.797,2178.950,2784.250,high_ve
20090902_153409_HRM_120319,6.391,30.688,30.688,950.844,950.844,2078.672,2109.110,2713.920,high_ve
20090903_090429_LDC_120430,3.006,29.568,29.568,982.474,982.474,2114.787,2124.390,2729.420,cell
20090903_094835_HRM_120348,6.922,34.422,34.422,1025.203,1025.203,2031.172,2031.730,2637.070,high_ve
20090903_100648_LDC_120468,25.458,52.708,52.708,842.208,842.208,2394.271,2419.490,3024.340,high_ve
20090903_110552_HRM_120301,3.656,29.406,29.406,911.688,911.688,2006.344,2007.710,2612.810,high_ve
20090903_111123_LDC_120434,2.406,28.812,28.812,814.390,814.390,1833.515,1860.610,2465.630,low_ve
20090903_115704_HRM_120492,9.516,40.609,40.609,1021.125,1021.125,2128.188,2132.260,2737.280,high_ve
20090903_132608_HRM_120425,11.860,45.375,45.375,877.172,877.324,2009.094,2011.220,2616.520,high_ve
20090903_143952_HRM_120297,8.094,33.078,33.078,968.891,968.891,1986.516,1987.480,2592.530,high_ve
20090903_154736_HRM_120435,4.688,27.906,27.906,1034.188,1034.188,2032.516,2033.240,2638.330,high_ve
20090903_163603_HRM_120394,8.594,32.594,32.594,971.359,971.359,1981.100,1981.100,2586.370,high_ve
20090904_090947_LDC_120217,1.471,44.049,44.049,930.799,930.799,1931.017,1945.880,2551.180,low_ve
20090904_094820_HRM_120472,3.516,48.203,48.203,998.453,998.453,2186.344,2186.920,2792.260,high_ve
20090904_095738_LDC_120473,9.418,39.684,39.684,830.965,830.965,2086.400,2086.400,2691.560,high_ve
20090904_104221_HRM_120382,1.406,48.563,48.563,874.812,874.812,1805.891,1829.380,2434.620,high_ve
20090904_110216_LDC_120395,6.480,32.730,32.730,840.621,840.621,1861.168,1862.360,2467.230,low_ve
20090904_113150_HRM_120469,16.969,46.516,46.516,1093.891,1093.891,2101.170,2101.170,2706.190,high_ve
20090904_130155_HRM_120295,3.250,30.391,30.391,822.672,822.672,1800.562,1814.970,2420.190,high_ve
20090904_131322_LDC_120371,3.317,33.301,33.301,1090.066,1090.066,2166.441,2167.620,2772.250,cell
20090904_135841_HRM_120405,5.547,31.766,31.766,1007.406,1007.406,2157.234,2158.120,2763.510,high_ve
20090904_140450_LDC_120403,11.468,42.015,42.015,1165.218,1165.218,2153.140,2157.940,2762.800,cell
20090904_145711_HRM_120466,2.672,29.219,29.219,776.969,776.969,1814.891,1829.990,2434.730,high_ve
20090904_154759_HRM_120310,3.688,28.969,28.969,833.578,833.578,1912.812,1915.750,2520.850,high_ve
20090904_161118_LDC_120256,3.296,32.124,32.124,951.109,951.109,1990.874,1990.980,2596.440,cell
20090908_093600_LDC_120434,3.575,46.935,46.935,950.388,950.388,1815.966,2121.180,2726.020,cell
20090908_094240_HRM_120421,14.672,44.250,44.250,954.016,954.016,2029.219,2030.620,2635.730,high_ve
20090908_110608_LDC_120333,4.666,37.666,37.666,882.588,882.588,1936.588,1959.610,2564.720,cell
20090908_113623_HRM_120339,13.740,36.379,49.594,1050.930,1080.821,1923.235,2082.310,2687.940,high_ve
20090908_140746_LDC_120329,4.343,30.733,30.733,950.139,950.139,1903.970,1903.970,2508.730,cell
20090908_144732_HRM_120474,14.922,37.891,37.891,952.500,952.500,1945.172,1945.970,2550.990,high_ve
20090908_150729_LDC_120338,2.668,26.293,26.293,882.355,882.355,1951.180,1951.180,2556.450,low_ve
20090908_155652_LDC_120502,3.248,34.264,34.264,1051.279,1051.279,2016.170,2019.150,2624.310,high_ve
20090908_170907_HRM_120405,4.828,32.969,32.969,970.328,970.328,2136.609,2137.230,2742.670,low_ve
20090909_091127_LDC_120454,1.236,55.471,55.471,665.267,665.267,1969.471,1997.260,2602.780,low_ve
20090909_104105_HRM_120345,19.466,33.850,34.256,847.939,876.876,1734.318,1979.260,2584.400,high_ve
20090909_111225_LDC_120245,4.785,29.300,29.300,942.504,942.504,1557.410,1737.350,2342.970,cell
20090909_122828_HRM_120453,5.010,40.959,41.412,945.468,948.187,1797.328,1965.890,2571.370,high_ve
20090909_131332_LDC_120408,6.487,32.425,32.425,905.706,905.706,1524.862,1779.050,2384.570,cell
20090909_131553_HRM_120435,4.795,27.719,29.962,1046.279,1046.517,1928.888,2164.560,2769.610,low_ve
20090909_140509_HRM_120319,23.640,45.682,48.616,929.819,942.748,1798.103,2042.570,2648.100,low_ve
20090909_140701_LDC_120379,4.252,26.783,26.783,956.986,956.986,2177.770,2177.770,2783.060,cell
20090909_150426_LDC_120402,5.109,39.296,39.296,1082.390,1082.390,2178.358,2179.630,2784.770,cell
20090909_151727_HRM_120229,6.727,28.554,31.799,975.453,980.677,1789.218,2058.660,2663.410,low_ve
20090909_161113_LDC_120215,3.951,28.310,28.310,923.748,923.748,1928.685,1930.910,2536.180,low_ve
20090910_090618_LDC_120302,9.065,31.560,34.971,736.087,741.555,1627.618,1760.800,2366.300,low_ve
20090910_104050_HRM_120315,3.219,31.094,31.094,834.547,834.547,2093.734,2107.410,2712.710,high_ve
20090910_105221_LDC_120317,6.020,34.129,34.129,1041.988,1041.988,2534.660,2535.260,3140.370,high_ve
